id,name,state_code,spend_2020,paid_employer_2020,medicare_rent_2019,color,medicare_rent_2020
2,Alaska,AK,"3,000,000,000",277.9656348,111,#6699CC,190%
1,Alabama,AL,"14,000,000,000",234.8014017,100,#336699,179%
5,Arkansas,AR,"8,000,000,000",149.4709267,100,#336699,141%
4,Arizona,AZ,"18,000,000,000",291.7503197,132,#94BEE5,271%
6,California,CA,"125,000,000,000",285.5529701,182,#6699CC,291%
8,Colorado,CO,"17,000,000,000",287.7257477,158,#6699CC,288%
9,Connecticut,CT,"12,000,000,000",218.8357558,131,#6DCFF6,223%
11,District of Columbia,DC,"4,000,000,000",244.3500542,155,#ffffff,246%
10,Delaware,DE,"3,000,000,000",284.2383762,161,#3399CC,290%
12,Florida,FL,"62,000,000,000",309.1796408,148,#3399CC,353%
13,Georgia,GA,"34,000,000,000",288.3497119,122,#6699CC,279%
15,Hawaii,HI,"4,000,000,000",147.0711234,82,#336699,250%
19,Iowa,IA,"10,000,000,000",198.4030814,101,#336699,162%
16,Idaho,ID,"5,000,000,000",239.8607712,118,#AAE1FA,200%
17,Illinois,IL,"41,000,000,000",253.4748596,148,#7AAFDE,247%
18,Indiana,IN,"20,000,000,000",292.0862833,161,#6699CC,297%
20,Kansas,KS,"9,000,000,000",289.5985176,91,#005996,186%
21,Kentucky,KY,"12,000,000,000",212.3144227,127,#336699,214%
22,Louisiana,LA,"11,000,000,000",229.6571383,104,#00BDF2,200%
25,Massachusetts,MA,"26,000,000,000",178.7130698,101,#336699,164%
23,Maine,ME,"5,000,000,000",274.6180961,123,#336699,229%
26,Michigan,MI,"30,000,000,000",193.248963,104,#336699,196%
27,Minnesota,MN,"18,000,000,000",297.4190702,120,#AAE1FA,200%
29,Missouri,MO,"19,000,000,000",255.2188147,128,#6699CC,236%
28,Mississippi,MS,"7,000,000,000",193.2653434,109,#3399CC,213%
30,Montana,MT,"3,000,000,000",239.4295431,80,#3399CC,150%
37,North Carolina,NC,"30,000,000,000",266.3633476,149,#336699,287%
38,North Dakota,ND,"3,000,000,000",211.0548381,76,#336699,153%
31,Nebraska,NE,"6,000,000,000",282.3296655,100,#3399CC,177%
33,New Hampshire,NH,"5,000,000,000",217.6899995,133,#C7EAFB,185%
34,New Jersey,NJ,"32,000,000,000",217.4102028,145,#6699CC,220%
35,New Mexico,NM,"4,000,000,000",287.8054184,153,#336699,300%
32,Nevada,NV,"8,000,000,000",259.6523232,111,#336699,286%
36,New York,NY,"75,000,000,000",263.2373729,109,#3399CC,246%
39,Ohio,OH,"32,000,000,000",277.8651781,133,#94BEE5,271%
40,Oklahoma,OK,"10,000,000,000",195.4167259,124,#3399CC,211%
41,Oregon,OR,"13,000,000,000",220.5611723,143,#3399CC,225%
42,Pennsylvania,PA,"40,000,000,000",234.7996994,120,#336699,220%
44,Rhode Island,RI,"3,000,000,000",194.1809852,129,#6699CC,198%
45,South Carolina,SC,"13,000,000,000",321.0128249,151,#AAE1FA,401%
46,South Dakota,SD,"3,000,000,000",218.261279,99,#6699CC,224%
47,Tennessee,TN,"19,000,000,000",219.0056143,132,#00BDF2,230%
48,Texas,TX,"77,000,000,000",252.2922497,135,#6699CC,280%
49,Utah,UT,"9,000,000,000",197.5018266,137,#3399CC,267%
51,Virginia,VA,"26,000,000,000",278.7043305,169,#6699CC,276%
50,Vermont,VT,"2,000,000,000",214.7856767,109,#00BDF2,213%
53,Washington,WA,"24,000,000,000",173.8119244,147,#336699,161%
55,Wisconsin,WI,"21,000,000,000",307.0835739,138,#3399CC,273%
54,West Virginia,WV,"5,000,000,000",317.4314564,137,#3399CC,315%
56,Wyoming,WY,"2,000,000,000",305.2110136,138,#336699,224%
24,Maryland,,,,,#00BDF2,
